px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
10.1537	-0.0482457	0	0	0	10.1537	-0.0482457	10.15	-0.0499992	-1.81963	0.909818	0
9.92588	0.00395802	2.61508	-3.14119	0	9.92588	0.00395802	10	9.49949e-07	-2.73049	0.910169	0
9.85676	0.0351738	0	0	0	9.85676	0.0351738	9.85	0.0500011	-2.73047	0.910161	0
9.63973	0.0585714	2.70663	-3.13552	0	9.63973	0.0585714	9.7	0.0500011	-2.72439	0	0
9.54669	0.0374948	0	0	0	9.54669	0.0374948	9.55	0.0500011	-2.72438	0	0
9.32242	0.112393	2.76994	-3.12954	0	9.32242	0.112393	9.4	0.100001	-2.72773	0.90923	0
9.24446	0.153574	0	0	0	9.24446	0.153574	9.25	0.15	-2.7277	0.909222	0
9.0614	0.20077	2.70076	-3.11944	0	9.0614	0.20077	9.1	0.2	-2.72652	0.908843	0
8.94752	0.260272	0	0	0	8.94752	0.260272	8.95	0.25	-2.72653	0.908843	0
8.90199	0.247143	1.84439	-3.11384	0	8.90199	0.247143	8.85	0.25	-1.81847	0	0
8.76016	0.263752	0	0	0	8.76016	0.263752	8.75	0.25	-1.81846	0	0
8.46355	0.258809	3.6221	-3.11102	0	8.46355	0.258809	8.55	0.25	-3.6326	0	0
8.35367	0.252596	0	0	0	8.35367	0.252596	8.35	0.25	-3.6326	0	0
8.05161	0.241868	2.66869	-3.11156	0	8.05161	0.241868	8.2	0.25	-2.72841	0	0
8.05411	0.247878	0	0	0	8.05411	0.247878	8.05	0.25	-2.72842	0	0
7.78653	0.205765	2.568	-3.11517	0	7.78653	0.205765	7.9	0.2	-2.72708	-0.909025	0
7.74339	0.144028	0	0	0	7.74339	0.144028	7.75	0.15	-2.72705	-0.909016	0
7.77346	0.0969346	2.72796	-3.12912	0	7.77346	0.0969346	7.6	0.100001	-2.73169	-0.910554	0
7.45362	0.0452052	0	0	0	7.45362	0.0452052	7.45	0.0500011	-2.73169	-0.910554	0
7.15329	0.0425189	3.09184	-3.13565	0	7.15329	0.0425189	7.3	0.0500011	-2.99789	0	0
